language_pair,count,acc_mean,acc_std,acc_norm_mean,acc_norm_std
fr_to_cs,45,0.4444,0.5025,0.5333,0.5045
fr_to_cy,45,0.2222,0.4204,0.3111,0.4682
fr_to_da,45,0.2,0.4045,0.2667,0.4472
fr_to_de,45,0.4,0.4954,0.6444,0.4841
fr_to_el,45,0.4889,0.5055,0.2889,0.4584
fr_to_en,45,0.6889,0.4682,0.5556,0.5025
fr_to_es,45,0.5333,0.5045,0.4,0.4954
fr_to_et,45,0.3333,0.4767,0.3111,0.4682
fr_to_fa,45,0.4222,0.4995,0.3778,0.4903
fr_to_fi,45,0.4444,0.5025,0.4667,0.5045
fr_to_ga,45,0.2889,0.4584,0.3111,0.4682
fr_to_he,45,0.3778,0.4903,0.2222,0.4204
fr_to_hi,45,0.5778,0.4995,0.4222,0.4995
fr_to_hr,45,0.4667,0.5045,0.4444,0.5025
fr_to_hu,45,0.2889,0.4584,0.3111,0.4682
fr_to_id,45,0.5111,0.5055,0.4889,0.5055
fr_to_is,45,0.3111,0.4682,0.3111,0.4682
fr_to_it,45,0.3556,0.4841,0.5111,0.5055
fr_to_ja,45,0.5111,0.5055,0.3778,0.4903
fr_to_ka,45,0.3778,0.4903,0.2889,0.4584
fr_to_ko,45,0.5556,0.5025,0.4889,0.5055
fr_to_lt,45,0.4222,0.4995,0.3111,0.4682
fr_to_lv,45,0.3556,0.4841,0.3333,0.4767
fr_to_ms,45,0.5111,0.5055,0.4,0.4954
fr_to_mt,45,0.2889,0.4584,0.2,0.4045
fr_to_nl,45,0.5111,0.5055,0.4667,0.5045
fr_to_no,45,0.4444,0.5025,0.4889,0.5055
fr_to_pl,45,0.5333,0.5045,0.5111,0.5055
fr_to_pt,45,0.6,0.4954,0.4667,0.5045
fr_to_ro,45,0.4444,0.5025,0.4,0.4954
fr_to_ru,45,0.5333,0.5045,0.4889,0.5055
fr_to_sk,45,0.3778,0.4903,0.4222,0.4995
fr_to_sl,45,0.4222,0.4995,0.5111,0.5055
fr_to_sr,45,0.3333,0.4767,0.3556,0.4841
fr_to_sv,45,0.4444,0.5025,0.4222,0.4995
fr_to_sw,45,0.4444,0.5025,0.3778,0.4903
fr_to_ta,45,0.4,0.4954,0.4667,0.5045
fr_to_th,45,0.4222,0.4995,0.5111,0.5055
fr_to_tl,45,0.3333,0.4767,0.4667,0.5045
fr_to_tr,45,0.3111,0.4682,0.4889,0.5055
fr_to_uk,45,0.3778,0.4903,0.4444,0.5025
fr_to_uz,45,0.3333,0.4767,0.2667,0.4472
fr_to_vi,45,0.3111,0.4682,0.4,0.4954
fr_to_zh,45,0.4667,0.5045,0.4889,0.5055
ga_to_am,45,0.2889,0.4584,0.2222,0.4204
ga_to_ar,45,0.2667,0.4472,0.3111,0.4682
ga_to_bg,45,0.4,0.4954,0.3111,0.4682
ga_to_bn,45,0.4222,0.4995,0.3333,0.4767
ga_to_bs,45,0.4,0.4954,0.3778,0.4903
ga_to_cs,45,0.3556,0.4841,0.3556,0.4841
ga_to_cy,45,0.3111,0.4682,0.2889,0.4584
ga_to_da,45,0.2889,0.4584,0.2222,0.4204
ga_to_de,45,0.4444,0.5025,0.5556,0.5025
ga_to_el,45,0.3778,0.4903,0.4222,0.4995
ga_to_en,45,0.2889,0.4584,0.4667,0.5045
ga_to_es,45,0.4,0.4954,0.5111,0.5055
ga_to_et,45,0.4889,0.5055,0.4444,0.5025
ga_to_fa,45,0.2889,0.4584,0.3778,0.4903
ga_to_fi,45,0.3111,0.4682,0.2444,0.4346
ga_to_fr,45,0.3778,0.4903,0.4444,0.5025
ga_to_he,45,0.4222,0.4995,0.3111,0.4682
ga_to_hi,45,0.3778,0.4903,0.2889,0.4584
ga_to_hr,45,0.5333,0.5045,0.3556,0.4841
ga_to_hu,45,0.4,0.4954,0.4667,0.5045
ga_to_id,45,0.4667,0.5045,0.3333,0.4767
ga_to_is,45,0.3333,0.4767,0.3111,0.4682
ga_to_it,45,0.5111,0.5055,0.4222,0.4995
ga_to_ja,45,0.4889,0.5055,0.2889,0.4584
ga_to_ka,45,0.2889,0.4584,0.3556,0.4841
ga_to_ko,45,0.3556,0.4841,0.2222,0.4204
ga_to_lt,45,0.3111,0.4682,0.3111,0.4682
ga_to_lv,45,0.2889,0.4584,0.3111,0.4682
ga_to_ms,45,0.3778,0.4903,0.4889,0.5055
ga_to_mt,45,0.3333,0.4767,0.2889,0.4584
ga_to_nl,45,0.4,0.4954,0.4667,0.5045
ga_to_no,45,0.3333,0.4767,0.4,0.4954
