model_name,task_name,file_path,date,evaluation_time,"acc,none","acc_stderr,none","acc_norm,none","acc_norm_stderr,none",n_samples_original,n_samples_effective,n_shot
meta-llama/Llama-3.1-8B-Instruct,analogies_medium,Analogies\Monolingual_EN\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.4706666666666667,0.012892006810297882,0.4673333333333333,0.012886658601277011,1500,1500,5
meta-llama/Llama-3.1-8B-Instruct,analogies_mono,Analogies\Monolingual_EN\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.775,0.020905264293664554,0.68,0.02335301711816499,400,400,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_high,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.49125,0.010206770948599035,0.4970833333333333,0.010208160534531878,2400,2400,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_low,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.389,0.015424555647308495,0.385,0.015395194445410808,1000,1000,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_medium,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.4166666666666667,0.012733622178818382,0.416,0.012730699659060487,1500,1500,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_mono,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.7225,0.022416302137144645,0.655,0.023798180255192706,400,400,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_high,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.6629166666666667,0.009651237099023624,0.6266666666666667,0.009875328637384974,2400,2400,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_low,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.5151209677419355,0.015875758682922167,0.4848790322580645,0.015875758682922167,992,992,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.4166666666666667,0.012733622178818382,0.416,0.012730699659060487,1500,1500,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,Analogies\Monolingual_EN\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.892,0.019669559381568752,0.848,0.022752024491765468,250,250,5
Qwen/Qwen3-8B,analogies_high,Analogies\Monolingual_EN\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.49125,0.010206770948599028,0.485,0.010203739435015534,2400,2400,5
Qwen/Qwen3-8B,analogies_low,Analogies\Monolingual_EN\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.406,0.015537226438634595,0.397,0.015480007449307989,1000,1000,5
Qwen/Qwen3-8B,analogies_medium,Analogies\Monolingual_EN\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.45,0.012849516464920127,0.46,0.01287285802178749,1500,1500,5
Qwen/Qwen3-8B,analogies_mono,Analogies\Monolingual_EN\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.6875,0.023204644228784484,0.65,0.023878346647045995,400,400,5
